TOTAL MODELS DISCOVERED: 54

Model ID: models/gemini-2.5-flash | Display: Gemini 2.5 Flash | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-2.5-pro | Display: Gemini 2.5 Pro | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-2.5-flash-preview-tts | Display: Gemini 2.5 Flash Preview TTS | Methods: ['countTokens', 'generateContent']
Model ID: models/gemini-2.5-pro-preview-tts | Display: Gemini 2.5 Pro Preview TTS | Methods: ['countTokens', 'generateContent', 'batchGenerateContent']
Model ID: models/gemini-3.7-flash-video-understanding-eap | Display: [Confidential] Gemini 3.7 Flash Video Understanding EAP | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemma-4-26b-a4b-it | Display: Gemma 4 26B A4B IT | Methods: ['generateContent', 'countTokens']
Model ID: models/gemma-4-31b-it | Display: Gemma 4 31B IT | Methods: ['generateContent', 'countTokens']
Model ID: models/gemini-flash-latest | Display: Gemini Flash Latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-flash-lite-latest | Display: Gemini Flash-Lite Latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-pro-latest | Display: Gemini Pro Latest | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-2.5-flash-lite | Display: Gemini 2.5 Flash-Lite | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-2.5-flash-image | Display: Nano Banana | Methods: ['generateContent', 'countTokens', 'batchGenerateContent']
Model ID: models/gemini-3-flash-preview | Display: Gemini 3 Flash Preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-3.1-pro-preview | Display: Gemini 3.1 Pro Preview | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
Model ID: models/gemini-3.1-pro-preview-customtools | Display: Gemini 3.1 Pro Preview Custom Tools | Methods: ['generateContent', 'countTokens', 'createCachedContent', 'batchGenerateContent']
